Query,Output
"Summarize all tickets that need a response and are associated with the ""MainframeMigration"" part.","var_1 = search_object_by_name(query=""MainframeMigration"")
var_2 = works_list(applies_to_part=[var_1], ticket.needs_response=True, type=[""ticket""])
var_3 = summarize_objects(objects=var_2)
"
"Identify my work items in 'development' stage, fetch similar items, and summarize them","var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], stage.name=[""development""], type=[""issue""])
var_3 = get_similar_work_items(work_id=var_2)
var_4 = summarize_objects(objects=var_3)
"
"Search for the latest sprint, get my tasks, and prepare a status report","var_1 = get_sprint_id()
var_2 = who_am_i()
var_3 = works_list(owned_by=[var_2], type=[""task""])
var_4 = summarize_objects(objects=var_3)
"
Organize my tasks according to their deadline and list them for today's planning meeting,"#Unanswerable_Invalid_Query_Error
"
Find and summarize all tasks related to part ENGINE-4 with a limit of 30 work items.,"var_1 = works_list(applies_to_part=[""ENGINE-4""], limit=30, type=[""task""])
var_2 = summarize_objects(objects=var_1)
"
Summarize my tasks related to CAPL-123 that need a response,"var_1 = who_am_i()
var_2 = works_list(applies_to_part=[""CAPL-123""], owned_by=[var_1], ticket.needs_response=True, type=[""task""])
var_3 = summarize_objects(objects=var_2)
"
"Retrieve the ID of the current user, list their tasks of type 'issue', then add any P2 priority issues to the current sprint.","var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], issue.priority=[""p2""], type=[""issue""])
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_3)
"
"List tasks in ""QA"" stage and add them to the sprint ""SPRINT-789""","var_1 = works_list(stage.name=[""QA""], type=[""task""])
var_2 = add_work_items_to_sprint(work_ids=var_1, sprint_id=""SPRINT-789"")
"
"Identify similar work items to ""ISSUE-999"" and prepare a summary","var_1 = get_similar_work_items(work_id=""ISSUE-999"")
var_2 = summarize_objects(objects=var_1)
"
Find and list all tasks related to the marketing campaign with high urgency.,"var_1 = works_list(issue.priority=[""high""], type=[""task""])
var_2 = summarize_objects(objects=var_1)
"
Find tasks related to project 'Alpha' and assign them to the current sprint.,"var_1 = search_object_by_name(query=""Alpha"")
var_2 = works_list(applies_to_part=[var_1], type=[""task""])
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_3)
"
"Find all issues related to the ""DataSync"" project and generate action items for resolution","var_1 = search_object_by_name(query=""DataSync"")
var_2 = works_list(type=[""issue""], applies_to_part=[var_1])
var_3 = create_actionable_tasks_from_text(text=var_2)
"
Generate a list of tasks from the meeting notes E and assign them to the Engineering team with sprint id E-01,"var_1 = create_actionable_tasks_from_text(text=""E"")
var_2 = add_work_items_to_sprint(work_ids=var_1, sprint_id=""E-01"")
"
"Find work items related to feature ""FEAT-999"" where I am the owner and summarize them.","var_1 = who_am_i()
var_2 = works_list(applies_to_part=[""FEAT-999""], owned_by=[var_1], type=[""issue"", ""ticket"", ""task""])
var_3 = summarize_objects(objects=var_2)
"
How do I change a flat tire on my bicycle?,#Unanswerable_Invalid_Query_Error
What if every decision we make creates a parallel universe with a different outcome?,#Unanswerable_Invalid_Query_Error
"Find tasks associated with the project ""ProjectX"" and summarize them and prioritiize them","var_1 = search_object_by_name(query=""ProjectX"")
var_2 = works_list(applies_to_part=[var_1], type=[""task""])
var_3 = summarize_objects(objects=var_2)
var_4 = prioritize_objects(objects=var_2)
"
"Find and summarize tasks related to project Alpha under stage 'development'
","var_1 = search_object_by_name(query=""Alpha"")
var_2 = works_list(applies_to_part=[var_1], stage.name=[""development""], type=[""task""])
var_3 = summarize_objects(objects=var_2)
"
"Get similar work items for issue PROJ-101, summarize and prioritize them, then add them to the ongoing sprint","var_1 = get_similar_work_items(work_id=""PROJ-101"")
var_2 = summarize_objects(objects=var_1)
var_3 = prioritize_objects(objects=var_1)
var_4 = get_sprint_id()
var_5 = add_work_items_to_sprint(work_ids=var_3, sprint_id=var_4)
"
"Fetch my tickets, summarize and arrange them by urgency.","var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], type=[""ticket""])
var_3 = summarize_objects(objects=var_2)
"
Retrieve and prioritize my works of type 'issue' that are pending in 'QA' stage,"var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], stage.name=[""QA""], type=[""issue""])
var_3 = prioritize_objects(objects=var_2)
"
"Create tasks from insights extracted from the text ""Update server configurations"" and prioritize them","var_1 = create_actionable_tasks_from_text(text=""Update server configurations"")
var_2 = prioritize_objects(objects=var_1)
"
Filter issues requiring a response for Rev organization REV-456 and organize by stage,"var_1 = search_object_by_name(query=""REV-456"")
var_2 = works_list(issue.rev_orgs=[var_1], ticket.needs_response=True, type=[""issue""])
var_3 = prioritize_objects(objects=var_2)
"
Summarize my tasks and add the p0-priority ones to the current sprint,"var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], type=[""task""])
var_3 = prioritize_objects(objects=var_2)
var_4 = get_sprint_id()
var_5 = add_work_items_to_sprint(work_ids=var_3, sprint_id=var_4)
"
Find tasks related to project Alpha and sort them by priority,"var_1 = search_object_by_name(query=""Alpha"")
var_2 = works_list(applies_to_part=[var_1], type=[""task""])
var_3 = prioritize_objects(objects=var_2)
"
"Extract actionable tasks from meeting notes ""M"" and assign them to developer DEV-ID-456","var_1 = create_actionable_tasks_from_text(text=""M"")
var_2 = add_work_items_to_sprint(work_ids=var_1, sprint_id=""DEV-ID-456"")
"
Find all issues related to part ENH-456 and list them by priority,"var_1 = works_list(applies_to_part=[""ENH-456""], type=[""issue""])
var_2 = prioritize_objects(objects=var_1)
"
Find and summarize tickets with 'low' severity that are unresolved,"var_1 = works_list(ticket.severity=[""low""], type=[""ticket""])
var_2 = summarize_objects(objects=var_1)
"
Find tickets related to the 'frontend' part with 'low' severity and order them by priority,"var_1 = search_object_by_name(query=""frontend"")
var_2 = works_list(applies_to_part=[var_1], ticket.severity=[""low""], type=[""ticket""])
var_3 = prioritize_objects(objects=var_2)
"
"Find all tasks related to the ""Backend"" part and sort them by priority","var_1 = search_object_by_name(query=""Backend"")
var_2 = works_list(applies_to_part=[var_1], type=[""task""])
var_3 = prioritize_objects(objects=var_2)
"
Retrieve and add any P2 tasks I own to the current sprint,"var_1 = who_am_i()
var_2 = works_list(issue.priority=[""p2""], owned_by=[var_1], type=[""task""])
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_3)
"
"Extract actionable tasks from a document titled ""Project Roadmap"" and prioritize the resulting tasks.","var_1 = create_actionable_tasks_from_text(text=""Project Roadmap"")
var_2 = prioritize_objects(objects=var_1)
"
Add P2 issues from REV organization to sprint,"var_1 = search_object_by_name(query=""REV organization"")
var_2 = get_sprint_id()
var_3 = works_list(issue.priority=[""p2""], issue.rev_orgs=[var_1], type=[""issue""])
var_4 = add_work_items_to_sprint(work_ids=var_3, sprint_id=var_2)
"
Summarize and prioritize tasks for the 'frontend' team under the 'design' stage,"var_1 = works_list(owned_by=[""frontend""], stage.name=[""design""], type=[""task""])
var_2 = prioritize_objects(objects=var_1)
var_3 = summarize_objects(objects=var_2)
"
